TIME_PERIOD,OBS_VALUE,indic,geo
2010-06-01,-13.9,Construction confidence indicator,Austria
2010-09-01,-11.7,Construction confidence indicator,Austria
2010-12-01,-16.5,Construction confidence indicator,Austria
2011-03-01,-10.1,Construction confidence indicator,Austria
2011-06-01,-7.3,Construction confidence indicator,Austria
2011-09-01,-5.0,Construction confidence indicator,Austria
2011-12-01,-1.4,Construction confidence indicator,Austria
2012-03-01,-4.8,Construction confidence indicator,Austria
2012-06-01,-1.1,Construction confidence indicator,Austria
2012-09-01,-8.3,Construction confidence indicator,Austria
2012-12-01,-7.4,Construction confidence indicator,Austria
2013-03-01,-9.0,Construction confidence indicator,Austria
2013-06-01,-9.3,Construction confidence indicator,Austria
2013-09-01,-19.0,Construction confidence indicator,Austria
2013-12-01,-20.4,Construction confidence indicator,Austria
2014-03-01,-14.2,Construction confidence indicator,Austria
2014-06-01,-18.2,Construction confidence indicator,Austria
2014-09-01,-19.8,Construction confidence indicator,Austria
2014-12-01,-14.1,Construction confidence indicator,Austria
2015-03-01,-18.0,Construction confidence indicator,Austria
2015-06-01,-12.2,Construction confidence indicator,Austria
2015-09-01,-12.9,Construction confidence indicator,Austria
2015-12-01,-8.2,Construction confidence indicator,Austria
2016-03-01,-8.5,Construction confidence indicator,Austria
2016-06-01,-7.2,Construction confidence indicator,Austria
2016-09-01,-1.4,Construction confidence indicator,Austria
2016-12-01,-1.2,Construction confidence indicator,Austria
2017-03-01,5.7,Construction confidence indicator,Austria
2017-06-01,7.8,Construction confidence indicator,Austria
2017-09-01,8.1,Construction confidence indicator,Austria
2017-12-01,11.4,Construction confidence indicator,Austria
2018-03-01,9.5,Construction confidence indicator,Austria
2018-06-01,8.7,Construction confidence indicator,Austria
2018-09-01,18.8,Construction confidence indicator,Austria
2018-12-01,15.2,Construction confidence indicator,Austria
2019-03-01,11.9,Construction confidence indicator,Austria
2019-06-01,9.0,Construction confidence indicator,Austria
2019-09-01,9.0,Construction confidence indicator,Austria
2019-12-01,9.3,Construction confidence indicator,Austria
2020-03-01,10.8,Construction confidence indicator,Austria
2020-06-01,-1.1,Construction confidence indicator,Austria
2020-09-01,2.3,Construction confidence indicator,Austria
2010-06-01,-10.2,Construction confidence indicator,Belgium
2010-09-01,-8.7,Construction confidence indicator,Belgium
2010-12-01,-7.3,Construction confidence indicator,Belgium
2011-03-01,-4.2,Construction confidence indicator,Belgium
2011-06-01,-4.2,Construction confidence indicator,Belgium
