ar_coefficients,repetition,horizon,method,error
0.1,0,0,flattened_forecast_error,56.4469404665055
0.1,0,1,flattened_forecast_error,44.2999538558107
0.1,1,0,flattened_forecast_error,7.424568119688413
0.1,1,1,flattened_forecast_error,45.05395332240487
0.1,2,0,flattened_forecast_error,52.39854571566998
0.1,2,1,flattened_forecast_error,46.260475466149465
0.1,3,0,flattened_forecast_error,27.38420661086437
0.1,3,1,flattened_forecast_error,16.000332313127068
0.1,4,0,flattened_forecast_error,20.629662154765832
0.1,4,1,flattened_forecast_error,54.14879245751936
0.1,5,0,flattened_forecast_error,35.77237436883484
0.1,5,1,flattened_forecast_error,19.132159686678264
0.1,6,0,flattened_forecast_error,12.375373440515855
0.1,6,1,flattened_forecast_error,40.32474363597641
0.1,7,0,flattened_forecast_error,75.53389353452319
0.1,7,1,flattened_forecast_error,43.094942511633796
0.1,8,0,flattened_forecast_error,9.47703200282754
0.1,8,1,flattened_forecast_error,44.92106471212707
0.1,9,0,flattened_forecast_error,16.146079180429002
0.1,9,1,flattened_forecast_error,26.60874125341397
0.1,10,0,flattened_forecast_error,66.66865757595826
0.1,10,1,flattened_forecast_error,17.601813278979357
0.1,11,0,flattened_forecast_error,27.57664745140231
0.1,11,1,flattened_forecast_error,39.73963880540535
0.1,12,0,flattened_forecast_error,24.76836909617688
0.1,12,1,flattened_forecast_error,43.411863502625
0.1,13,0,flattened_forecast_error,13.32442334645903
0.1,13,1,flattened_forecast_error,39.693959489141456
0.1,14,0,flattened_forecast_error,25.695771101917337
0.1,14,1,flattened_forecast_error,47.54252825040954
0.1,15,0,flattened_forecast_error,24.140439346630753
0.1,15,1,flattened_forecast_error,43.07259588306195
0.1,16,0,flattened_forecast_error,21.020304161242073
0.1,16,1,flattened_forecast_error,8.11114049029699
0.1,17,0,flattened_forecast_error,16.841169879580963
0.1,17,1,flattened_forecast_error,92.74491532885209
0.1,18,0,flattened_forecast_error,55.65093851672459
0.1,18,1,flattened_forecast_error,47.28387055153218
0.1,19,0,flattened_forecast_error,12.197794382915005
0.1,19,1,flattened_forecast_error,47.71410472780552
0.1,20,0,flattened_forecast_error,17.74359625936607
0.1,20,1,flattened_forecast_error,52.245917700759094
0.1,21,0,flattened_forecast_error,31.643706546738937
0.1,21,1,flattened_forecast_error,41.142653568557805
0.1,22,0,flattened_forecast_error,20.053200037958792
0.1,22,1,flattened_forecast_error,29.004847000240826
0.1,23,0,flattened_forecast_error,10.859182467435499
0.1,23,1,flattened_forecast_error,10.26170977180399
0.1,24,0,flattened_forecast_error,27.22180078622572
0.1,24,1,flattened_forecast_error,35.67180002904867
0.1,25,0,flattened_forecast_error,14.014082796060276
0.1,25,1,flattened_forecast_error,17.567331063197535
0.1,26,0,flattened_forecast_error,5.927739420766741
0.1,26,1,flattened_forecast_error,32.711734513114635
0.1,27,0,flattened_forecast_error,14.11191139737741
0.1,27,1,flattened_forecast_error,37.20534894181024
0.1,28,0,flattened_forecast_error,31.011513230026853
0.1,28,1,flattened_forecast_error,39.66798759145014
